WKT,id,nom,type
"MULTIPOINT ((6.13539 45.31417))",58,L'Oule ou Antoine Cros,refuge
"MULTIPOINT ((6.17329 44.94464))",1529,L'Alpe du Pin,refuge
"MULTIPOINT ((6.2935 44.9325))",2166,Châlet Alpin de la Bérarde,refuge
"MULTIPOINT ((6.07854 45.24901))",115,Refuge des Sept Laux,refuge
"MULTIPOINT ((6.09762 44.953))",1341,Refuge de la Muzelle,refuge
"MULTIPOINT ((6.24913 44.98228))",1545,Refuge de la Selle,refuge
"MULTIPOINT ((6.17766 44.86495))",1709,Refuge de Font Turbat,refuge
"MULTIPOINT ((6.29962 44.97573))",1753,Refuge du Châtelleret,refuge
"MULTIPOINT ((6.18288 45.04361))",2319,Refuge des Clots,refuge
"MULTIPOINT ((5.58141 45.23004))",1506,Refuge de La Sure,refuge
"MULTIPOINT ((6.20616 44.89862))",1546,Refuge de la Lavey,refuge
"MULTIPOINT ((5.96736 45.19242))",14,Refuge Jean Collet,refuge
"MULTIPOINT ((5.94438 45.16128))",3,Refuge de la Pra,refuge
"MULTIPOINT ((6.3321 44.87))",1754,Refuge de la Pilatte,refuge
"MULTIPOINT ((6.11402 45.26474))",57,Gîte d'alpage / Refuge de la Combe Madame,refuge
"MULTIPOINT ((6.30492 44.99843))",1752,Refuge du Promontoire,refuge
"MULTIPOINT ((6.2437 44.9604))",1544,Refuge du Soreiller,refuge
"MULTIPOINT ((6.3325 44.9042))",647,Refuge Temple Ecrins,refuge
"MULTIPOINT ((5.6887 45.327))",2714,pas de Miséricorde,passage
"MULTIPOINT ((5.52385 44.84137))",2011,Pas de la Selle,passage
"MULTIPOINT ((5.55165 44.91033))",2650,Col des Deux,passage
"MULTIPOINT ((5.50724 44.87094))",1831,Cairn de l'avion,passage
"MULTIPOINT ((5.5193 44.8481))",2745,Pas des Bachassons,passage
"MULTIPOINT ((6.08835 44.93267))",4353,Col de la Muzelle,passage
"MULTIPOINT ((5.52022 44.85731))",4362,Pas des Chattons,passage
"MULTIPOINT ((5.52216 44.88094))",1988,Pas de la Ville,passage
"MULTIPOINT ((5.48245 44.82342))",3584,Pas de Chabrinel,passage
"MULTIPOINT ((6.0371 44.9563))",1794,Brèche du Pèrier,passage
"MULTIPOINT ((6.081 44.9544))",1793,Col du vallon,passage
"MULTIPOINT ((5.98823010921478 45.1973143962385))",1795,Col de la Mine de Fer,passage
"MULTIPOINT ((5.54729 44.99602))",1996,Pas de la Balme,passage
"MULTIPOINT ((5.517 44.91))",1986,Pas de Bèrrièves,passage
"MULTIPOINT ((5.5588 44.7927))",1990,Pas de l'Essaure,passage
"MULTIPOINT ((5.613 45.083))",1992,Col de l'Arc,passage
"MULTIPOINT ((5.597 45.052))",1994,Col Vert,passage
"MULTIPOINT ((5.526 44.972))",1997,Pas Ernadant,passage
"MULTIPOINT ((6.0793 44.8924))",2102,Col de Cote-Belle,passage
"MULTIPOINT ((5.897 45.358))",1980,Passage de L'Aulp du Seuil,passage
"MULTIPOINT ((6.1113 45.2818))",2783,Passage ODRU (pas),passage
"MULTIPOINT ((5.92795 45.41697))",3369,Col de l'Alpe,passage
"MULTIPOINT ((5.637 44.75872))",3071,Col de Trapeynier.,passage
"MULTIPOINT ((5.6177 44.7615))",3074,Col du Bachat,passage
"MULTIPOINT ((5.85426 45.30931))",3386,Pas de l'Oeille,passage
"MULTIPOINT ((5.52234649658203 44.9502363675674))",5925,Pas de l'Etoupe,passage
"MULTIPOINT ((5.4654 45.164))",2879,Col de Neurre.,passage
"MULTIPOINT ((5.68916916847229 45.3156490576217))",1379,Col de Charminelle,passage
"MULTIPOINT ((6.1008 45.2249))",1759,Col de l'agnelin,passage
"MULTIPOINT ((5.93554 45.18915))",10,Refuge du Pré du Mollard,refuge
"MULTIPOINT ((6.15355 45.37652))",2642,Col de Claran,passage
"MULTIPOINT ((5.6928 45.29808))",2696,Seuil des Banettes,passage
"MULTIPOINT ((6.15038 45.32643))",2095,col de l'Envers ou col du Vay,passage
"MULTIPOINT ((5.70219 45.31593))",1381,col d'Hurtières,passage
"MULTIPOINT ((5.91887 45.4418))",2400,Col de l'Alpette,passage
"MULTIPOINT ((5.608 45.0718))",2603,Col de la pierre Vivari,passage
"MULTIPOINT ((5.71221 45.33732))",2697,Col de la Sure,passage
"MULTIPOINT ((6.19671 44.85914))",3222,L'Olan,sommet
"MULTIPOINT ((5.63937163 45.1475433899999))",546,Moucherotte,sommet
"MULTIPOINT ((5.53076863288879 44.8640061096993))",5808,Aiguillette du Grand Veymont (ou Petit Veymont),sommet
"MULTIPOINT ((6.23746 44.89984))",3249,Tête des Fétoules,sommet
"MULTIPOINT ((6.08042 44.94659))",4354,Tête de la Muraillette,sommet
"MULTIPOINT ((6.075 45.221))",1039,Lac de la Sagne,lac
"MULTIPOINT ((6.07968 45.23358))",1040,Lac du Cos,lac
"MULTIPOINT ((6.0853 45.408))",1049,Lac de Mirande,lac
"MULTIPOINT ((6.16675 45.36416))",1057,Le Grand Charnier,sommet
"MULTIPOINT ((6.15666 45.34854))",1055,Lac de Perioule,lac
"MULTIPOINT ((6.1589 45.3233))",1059,lac Moretan superieur,lac
"MULTIPOINT ((6.09839 45.23403))",3211,Le Toit (sommet N),sommet
"MULTIPOINT ((6.25804 44.86385))",3221,Les Rouies,sommet
"MULTIPOINT ((6.19999 44.8772))",3277,Aiguille de l’Olan,sommet
"MULTIPOINT ((6.0437 44.9576))",1411,Lac de plan Vianney,lac
"MULTIPOINT ((5.93574 45.17008))",1878,Lac du Crozet,lac
"MULTIPOINT ((6.11799 45.28712))",1772,Lac Blanc ( de la Grande Valloire),lac
"MULTIPOINT ((5.91507 44.95038))",1764,Lac du Rif Bruyant,lac
"MULTIPOINT ((6.02941 45.23103))",1773,Lacs du Vénétier,lac
"MULTIPOINT ((6.11225 45.22224))",1758,Lac de l'Ane,lac
"MULTIPOINT ((6.01904 44.97757))",1760,Lac du Vallon,lac
"MULTIPOINT ((6.0052 44.9083))",1761,Lac Gary,lac
"MULTIPOINT ((5.9877 45.2083))",1771,Lac de Crop,lac
"MULTIPOINT ((6.065 44.9696))",1792,Lauvitel,lac
"MULTIPOINT ((6.00434 45.17788))",1830,Lac de la Balmette,lac
"MULTIPOINT ((5.9016 45.1133))",1891,Lac Achard,lac
"MULTIPOINT ((5.95879 45.16309))",1890,Lacs du Petit et du Grand Domènon,lac
"MULTIPOINT ((5.92417 45.0394))",539,Le Taillefer,sommet
"MULTIPOINT ((5.56415 45.00492))",597,La Grande Moucherolle,sommet
"MULTIPOINT ((6.19369 44.89606))",2121,Lac des Bèches,lac
"MULTIPOINT ((5.99143 45.1711))",1856,Grand Pic de Belledonne,sommet
"MULTIPOINT ((6.2444 44.8766))",2119,Lac des Rouies,lac
"MULTIPOINT ((6.1077 45.2416))",1866,Rocher Blanc,sommet
"MULTIPOINT ((6.23301 44.86238))",2120,Lac de la Muande,lac
"MULTIPOINT ((5.523 44.89))",1985,Sommet de Pierre Blanche,sommet
"MULTIPOINT ((6.1588 44.9193))",2123,Lac du Salude,lac
"MULTIPOINT ((5.521 44.906))",1987,Rocher de Séguret,sommet
"MULTIPOINT ((5.518 44.925))",1989,Sommet de Malaval,sommet
"MULTIPOINT ((6.1655 45.1435))",2118,Lac des Quirlies,lac
"MULTIPOINT ((5.5396 44.8027))",1991,Tète Chevalière,sommet
"MULTIPOINT ((5.6 45.062))",1993,Roc Cornafion,sommet
"MULTIPOINT ((5.88894 45.03454))",2164,Lac de Brouffier,lac
"MULTIPOINT ((5.4944 44.8188))",1998,Sommet de Tourte -Barreaux,sommet
"MULTIPOINT ((5.91141 45.03543))",2165,Lac de l'Emay,lac
"MULTIPOINT ((5.85495 45.07261))",2760,Lac de Praver,lac
"MULTIPOINT ((5.88045 45.04774))",2759,Lac Claret,lac
"MULTIPOINT ((5.9332 44.8122))",1027,Lac du Sautet,lac
"MULTIPOINT ((6.061 45.381))",1033,Bassin de Flumet,lac
"MULTIPOINT ((5.52665 44.86971))",519,Grand Veymont,sommet
"MULTIPOINT ((5.93411922454834 44.9811316350693))",540,Le Grand Armet,sommet
"MULTIPOINT ((5.99927 45.16522))",1757,Lac de Belledonne,lac
"MULTIPOINT ((5.7634 45.3252))",550,Le Charmant Som,sommet
"MULTIPOINT ((6.03841 44.9323))",1762,Lac Labarre,lac
"MULTIPOINT ((5.7245 44.9924))",679,La Peyrouse,sommet
"MULTIPOINT ((6.15121 45.04199))",4795,le Chambon,lac
"MULTIPOINT ((5.7211 44.9082))",680,Le Sénépy,sommet
"MULTIPOINT ((5.9293 45.056))",1949,Lac Fourchu,lac
"MULTIPOINT ((5.8438 44.9616))",2186,Le Piquet de Nantes,sommet
"MULTIPOINT ((5.9716 45.1785))",1889,Lac Blanc (Belledonne),lac
"MULTIPOINT ((5.9405 44.8738))",2202,Le Colombier,sommet
"MULTIPOINT ((5.9586 45.1563))",1862,Grande Lauzière,sommet
"MULTIPOINT ((5.54502 45.23536))",1063,Bec de l'Orient,sommet
"MULTIPOINT ((5.839 44.775))",1066,Grande Tête de l'Obiou,sommet
"MULTIPOINT ((5.53065 44.96783))",606,Rochers du Playnet,sommet
"MULTIPOINT ((5.812 44.8133))",1208,Le Châtel ou(Bonnet de Calvin),sommet
"MULTIPOINT ((6.13208 45.29265))",3440,Lac Glacé,lac
"MULTIPOINT ((5.81203 45.37046))",1367,Grand Som,sommet
"MULTIPOINT ((5.52592 45.17996))",4833,Source des Plagneux,point d'eau
"MULTIPOINT ((5.5977 45.2357))",1408,La Sure,sommet
"MULTIPOINT ((6.0235333442688 44.9276654788627))",2039,Tête de Rame ou Tête des Chétives,sommet
"MULTIPOINT ((5.51051 44.90526))",1198,Fontaine du Play,point d'eau
"MULTIPOINT ((5.6472 44.72419))",1639,Le Jocou,sommet
"MULTIPOINT ((6.03132247924805 44.9800388186414))",1768,Rochail,sommet
"MULTIPOINT ((5.98834 45.16862))",1746,Croix de Belledonne,sommet
"MULTIPOINT ((6.0185 44.9702))",1766,Le Neyrard,sommet
"MULTIPOINT ((6.03153705596924 44.9717813101803))",1769,Pointe de Confolens,sommet
"MULTIPOINT ((5.6977 45.2976))",1951,Rochers de Chalves,sommet
"MULTIPOINT ((5.81361 45.2711))",1976,Mont St eynard,sommet
"MULTIPOINT ((5.69619 45.33704))",4036,Fontaine abreuvoir de Jusson,point d'eau
"MULTIPOINT ((5.62 45.09))",1983,Pic St Michel,sommet
"MULTIPOINT ((5.70143 45.3267))",4038,Captage,point d'eau
"MULTIPOINT ((5.70016622543335 45.326036913908))",4037,Ruisseau de l'Hérétang,point d'eau
"MULTIPOINT ((5.5388 44.9933))",2143,Tète des Chaudières,sommet
"MULTIPOINT ((5.842 45.3084))",2733,Fontaine des Ayes,point d'eau
"MULTIPOINT ((5.73845 45.2883))",1238,La Pinea,sommet
"MULTIPOINT ((5.8566 45.3299))",4061,Fontaine Noire,point d'eau
"MULTIPOINT ((5.825 45.005))",2187,Le Grand-Serre,sommet
"MULTIPOINT ((5.5955 45.2871))",2169,Dent de Moirans,sommet
"MULTIPOINT ((5.9188 44.991))",2358,Tête de Barbalon,sommet
"MULTIPOINT ((5.47817 44.96697))",4050,Puits de Darbounouse,point d'eau
"MULTIPOINT ((6.0108 45.0))",2386,Grand Renaud,sommet
"MULTIPOINT ((5.48887 44.9901))",1201,Fontaine de la Coinchette,point d'eau
"MULTIPOINT ((6.0158 44.9955))",2399,Pic du col d'Ornon,sommet
"MULTIPOINT ((5.72781 45.28949))",4862,source sous Girieux,point d'eau
"MULTIPOINT ((6.1699 44.8536))",2521,Pic Turbat,sommet
"MULTIPOINT ((5.38273 45.09144))",4091,Point d'eau de Presles,point d'eau
"MULTIPOINT ((5.42344 45.10593))",4092,Source Bouteille,point d'eau
"MULTIPOINT ((6.1002 45.2263))",2772,Pic de l'Agnelin,sommet
"MULTIPOINT ((5.981 44.9462))",2998,Le Touret,sommet
"MULTIPOINT ((5.915 45.1452))",1776,Cascade de l'oursière,point d'eau
"MULTIPOINT ((5.612 44.79309))",3060,Sommet du Platary,sommet
"MULTIPOINT ((5.6666 45.2844))",2669,Source de Malsouche,point d'eau
"MULTIPOINT ((5.58809 44.93213))",3061,Montagne de la Pale,sommet
"MULTIPOINT ((5.7796 45.2793))",2723,Source de Pré-Boiteux,point d'eau
"MULTIPOINT ((5.83254 45.30182))",2756,Fontaine du Habert du col du Coq,point d'eau
"MULTIPOINT ((5.57724 45.05819))",2748,Cascade de la Fauge,point d'eau
"MULTIPOINT ((5.4779 45.1839))",2859,Fontaine de grand Bois,point d'eau
"MULTIPOINT ((5.508 44.782))",4129,Fontaine Pourrie,point d'eau
"MULTIPOINT ((5.828 44.767))",2057,Tète de la Cavale,sommet
"MULTIPOINT ((5.9125 44.93305))",1765,Le Coiro,sommet
"MULTIPOINT ((5.54192 45.22975))",1269,Fontaine de Nave,point d'eau
"MULTIPOINT ((5.872 45.346))",1981,Lance Sud de Malissard,sommet
"MULTIPOINT ((5.838 44.758))",2054,Tète de Lapras,sommet
"MULTIPOINT ((5.92119 45.43922))",2780,Source du refuge de l'alpette,point d'eau
"MULTIPOINT ((6.144 45.154))",2088,Pic de l'Etendard,sommet
"MULTIPOINT ((5.509 44.844))",4153,Source Mazilier,point d'eau
"MULTIPOINT ((5.5016 44.8485))",4154,Fontaine du Diable,point d'eau
"MULTIPOINT ((5.9991 45.203))",2509,Ferrouillet pointe centrale sud,sommet
"MULTIPOINT ((5.5154 44.9698))",4155,Fontaine Gravianelle,point d'eau
"MULTIPOINT ((5.92664 45.41836))",3508,Croix de l'Alpe,sommet
"MULTIPOINT ((5.5348 44.77615))",3627,Croix du Lautaret,sommet
"MULTIPOINT ((5.55417 44.79444))",4024,Source de l'Essaure,point d'eau
"MULTIPOINT ((5.93726 45.42095))",4396,Captage du pré Orcel,point d'eau
"MULTIPOINT ((5.6247 44.7539))",3075,Mont-Barral,sommet
"MULTIPOINT ((5.80629 45.3231))",4178,Fontaine de St Hugues de Chartreuse,point d'eau
"MULTIPOINT ((5.73325 45.2184))",1977,Mont Rachais,sommet
"MULTIPOINT ((6.10487 45.3088))",4197,Source du 1er chalet de Tigneux,point d'eau
"MULTIPOINT ((6.1097 45.30795))",4196,Source du 2e chalet de Tigneux,point d'eau
"MULTIPOINT ((5.86055 45.10309))",2209,Fontaine de Boulac (Boulec),point d'eau
"MULTIPOINT ((5.55221557617188 44.8417893192688))",1237,Mont Aiguille,sommet
"MULTIPOINT ((6.08715 45.31893))",4198,Fontaine de La Ferrière,point d'eau
"MULTIPOINT ((5.46923 44.79352))",1215,Fontaine des Bachassons,point d'eau
"MULTIPOINT ((5.95937490463257 45.1716377369141))",1863,Grande Lance de Domène,sommet
"MULTIPOINT ((5.4567 45.1604))",2878,Source des Pigeons,point d'eau
"MULTIPOINT ((5.7881672 45.287689))",522,Chamechaude,sommet
"MULTIPOINT ((5.42018 45.09723))",1196,Fontaine de Pétouze,point d'eau
"MULTIPOINT ((5.54431 44.79437))",1214,Fontaine du Creuson,point d'eau
"MULTIPOINT ((5.4758 44.8677))",1192,Fontaine de Gerland,point d'eau
"MULTIPOINT ((5.61788 45.20791))",1181,Fontaine de Sornin,point d'eau
"MULTIPOINT ((5.519 44.8469))",1228,Fontaine du Pas des Bachassons,point d'eau
"MULTIPOINT ((5.47777 45.03972))",1657,Fontaine des Scialets Mistri,point d'eau
"MULTIPOINT ((5.5174 45.0246))",1750,Point d'eau du parking du Golf de Correncon,point d'eau
"MULTIPOINT ((5.60798 45.08143))",1770,Source du Berger,point d'eau
"MULTIPOINT ((5.6338 45.15))",1774,Source du Moucherotte,point d'eau
"MULTIPOINT ((5.969 45.2152))",3861,Captage-abreuvoir,point d'eau
"MULTIPOINT ((5.51 44.857))",1963,Fontaine de Bonnevau,point d'eau
"MULTIPOINT ((5.857 45.326))",1974,Source du Guiers,point d'eau
"MULTIPOINT ((5.43185 45.12971))",1970,Source de Bury,point d'eau
"MULTIPOINT ((6.1104 45.33297))",4521,Fontaine du Bout,point d'eau
"MULTIPOINT ((5.51139 44.80583))",3699,Source des Chaumailloux,point d'eau
"MULTIPOINT ((6.10889 45.31549))",4522,source du Léat,point d'eau
"MULTIPOINT ((5.91527938842773 45.0704974267402))",2365,Pont sur le Rioupéroux,point d'eau
"MULTIPOINT ((5.53271 45.22397))",2419,Fontaine des Sangliers,point d'eau
"MULTIPOINT ((5.58669 45.16987))",2422,Source de la Graille,point d'eau
"MULTIPOINT ((5.5339 45.19771))",2418,Fontaine de Font Renard,point d'eau
"MULTIPOINT ((5.59185 45.23133))",2421,Fontaine de la Sure,point d'eau
"MULTIPOINT ((5.551302 44.7732))",1964,Fontaine de Colombette,point d'eau
"MULTIPOINT ((5.588 45.0528))",2578,Fontaine de Roybon,point d'eau
"MULTIPOINT ((5.57903 45.0612))",2579,Fontaine Magdelen,point d'eau
"MULTIPOINT ((5.4671 45.1794))",2858,Fontaine de Racleterre,point d'eau
"MULTIPOINT ((5.69944 45.22806))",3000,Fontaine vierge,point d'eau
"MULTIPOINT ((5.83642 45.30247))",3280,Col du Coq à côté du telesiège,point d'eau
"MULTIPOINT ((5.45385 45.10479))",3668,Fontaine La Grand Font,point d'eau
"MULTIPOINT ((6.13862156867981 45.3242868783577))",6018,source mystérieuse du Vay,point d'eau
"MULTIPOINT ((5.93196 44.9322))",4582,Ruisseau de l'Infernet,point d'eau
"MULTIPOINT ((5.5093 44.9035))",1199,Deuxième fontaine du Play,point d'eau
"MULTIPOINT ((5.51835 45.20466))",3708,Fontaine du Rivet,point d'eau
"MULTIPOINT ((5.74767 45.11808))",4591,fontaine,point d'eau
"MULTIPOINT ((5.50639 44.9817))",1179,Fontaine de Carrette,point d'eau
"MULTIPOINT ((6.0286 44.9102))",2811,Fontaine Julliarde,point d'eau
"MULTIPOINT ((5.7188 44.9247))",1218,La fontaine du Raccord,point d'eau
"MULTIPOINT ((5.50894 44.87131))",1210,Fontaine des Serrons,point d'eau
"MULTIPOINT ((5.68966 45.31421))",1380,Source de Charminelle,point d'eau
"MULTIPOINT ((5.71287 45.3342))",1377,Abreuvoir de la Sure,point d'eau
"MULTIPOINT ((5.586 45.2505))",2666,Source de l'Echalance,point d'eau
"MULTIPOINT ((5.71771 45.34111))",4743,Abreuvoir de la Sure 2,point d'eau
"MULTIPOINT ((5.5605 44.9947))",3831,Fontaine Barnière,point d'eau
"MULTIPOINT ((5.47888 45.029444))",1656,Fontaine d'Herbouilly,point d'eau
"MULTIPOINT ((5.93141 45.19368))",1664,Source de Font du Clos,point d'eau
"MULTIPOINT ((6.0529 45.322))",2200,Source de la Bouine,point d'eau
"MULTIPOINT ((5.52996 44.87672))",1703,Fontaine du Veymont,point d'eau
"MULTIPOINT ((5.50971 44.88854))",1702,Fontaine de la Chau,point d'eau
"MULTIPOINT ((5.75074 44.71042))",4793,Point d'eau de la baraque de Paille,point d'eau
"MULTIPOINT ((5.93915 45.45283))",4811,source de Puf,point d'eau
"MULTIPOINT ((5.4714 44.83433))",4824,Fontaine de la Plante,point d'eau
"MULTIPOINT ((5.572 44.997))",1965,Fontaine des Sarrazins,point d'eau
"MULTIPOINT ((5.51373 44.80485))",1967,Source Chevalière,point d'eau
"MULTIPOINT ((5.92823 45.45217))",1969,Fontaine Neuve,point d'eau
"MULTIPOINT ((5.92263 45.44088))",1968,Fontaine de l'Alpette,point d'eau
"MULTIPOINT ((5.92142 45.42618))",1975,Source de la Vieille,point d'eau
"MULTIPOINT ((5.60527503490448 45.0868729657325))",1966,Source de Font Froide,point d'eau
"MULTIPOINT ((5.7935 44.8188))",2288,Fontaine de Baret,point d'eau
"MULTIPOINT ((5.72208791971207 45.2381591611323))",6040,Fontaine de Chores,point d'eau
"MULTIPOINT ((5.77957 45.28579))",2379,Source du Bachasson,point d'eau
"MULTIPOINT ((5.56595 45.24007))",2420,Source de la Clé,point d'eau
"MULTIPOINT ((5.92421 45.44295))",2632,Deuxième source de l'alpette,point d'eau
"MULTIPOINT ((5.6141 45.0788))",2602,Fontaine des Crocs,point d'eau
"MULTIPOINT ((5.61447 45.07901))",2683,Source du col de l'arc,point d'eau
"MULTIPOINT ((5.7818 45.2793))",2724,Source de la Loux,point d'eau
"MULTIPOINT ((5.5411 44.866))",2747,Ruisseau des Chalanches,point d'eau
"MULTIPOINT ((5.88604 45.3565))",2823,Source de l'Aulp du seuil,point d'eau
"MULTIPOINT ((5.5237 44.9136))",2790,Fontaine de Berrièves,point d'eau
"MULTIPOINT ((5.92393 45.42854))",3217,Fontaine du Bénitier,point d'eau
"MULTIPOINT ((5.614655 44.755536))",3262,Source de la Freidière,point d'eau
"MULTIPOINT ((6.18284 45.04355))",3298,Fontaine du refuge des Clos,point d'eau
"MULTIPOINT ((5.79249 45.33079))",3276,Fontaine de Frettevieille,point d'eau
"MULTIPOINT ((5.79928 45.39988))",3863,Fontaine - Ruisseau du Bruyant,point d'eau
"MULTIPOINT ((5.43483 45.13094))",3646,Fontaine de Patente,point d'eau
"MULTIPOINT ((5.4823 44.8257))",1182,Fontaine des Endettés,point d'eau
"MULTIPOINT ((5.87192 45.34077))",2779,Fontaine de la cabane de Bellefont,point d'eau
"MULTIPOINT ((5.87725 44.78398))",3250,Source des Baumes,point d'eau
"MULTIPOINT ((5.8866 45.1525))",2753,Fontaine de la Gâte (ou de la Gaffe),point d'eau
"MULTIPOINT ((5.5081 45.0))",1832,Puits des Ravières,point d'eau
"MULTIPOINT ((5.91626 45.41636))",3002,Source de l'Alpe,point d'eau
"MULTIPOINT ((5.55544 45.01136))",3031,Fontaine de l'Ours,point d'eau
"MULTIPOINT ((5.97156 45.21397))",3860,Captage-abreuvoir des Jarlons,point d'eau
"MULTIPOINT ((5.40562 45.12789))",3063,Fontaine des Charmettes,point d'eau
"MULTIPOINT ((5.40698 45.14405))",3064,Fontaine du Mede,point d'eau
"MULTIPOINT ((5.43842 45.07445))",3666,Réservoir de la Goulandière,point d'eau
"MULTIPOINT ((5.5407 44.7734))",3679,Source du Marichaume,point d'eau
"MULTIPOINT ((5.60782 44.76268))",3723,Source du Fanjat,point d'eau
"MULTIPOINT ((5.63236 45.03319))",3732,Fontaine de l'Echaillon,point d'eau
"MULTIPOINT ((5.70742 45.32287))",3832,Source d'Hurtières (captage),point d'eau
"MULTIPOINT ((5.77901 44.70309))",3850,Captage-abreuvoir de la Croix,point d'eau
"MULTIPOINT ((5.77289 44.70064))",3851,Captage-abreuvoir de l'ancienne carrière,point d'eau
"MULTIPOINT ((5.9086275100708 45.0739676297748))",2366,Passage sur le Rioupéroux,point d'eau
"MULTIPOINT ((5.53837 45.20207))",5570,Fontaine des éperières (Fontaine Scellier),point d'eau
"MULTIPOINT ((5.48361 44.92278))",1200,Fontaine de Tiolache,point d'eau
"MULTIPOINT ((5.524 44.958))",1790,Pas Morta,passage
"MULTIPOINT ((6.0548 45.3181))",2201,Crêt Luisard,sommet
"MULTIPOINT ((5.70291 45.33524))",1248,Grande Sure,sommet
"MULTIPOINT ((5.85488 44.97634))",1445,Tabor (de la Mure),sommet
"MULTIPOINT ((5.5924 44.8914))",2640,Rocher du Baconnet,sommet
"MULTIPOINT ((6.1069 45.2855))",2789,Grande Roche,sommet
"MULTIPOINT ((5.85555 45.30822))",547,Dent de Crolles,sommet
"MULTIPOINT ((6.23973 45.07451))",4077,Gros Têt ou Cime du Rachas,sommet
"MULTIPOINT ((5.92684 45.16306))",1868,Grand Colon (sommet  sud),sommet
"MULTIPOINT ((6.03294 45.24159))",1869,Cime de la Jasse,sommet
"MULTIPOINT ((5.51 44.8432))",4152,Roc Mazilier,sommet
"MULTIPOINT ((6.22296 44.96442))",1064,Aiguille du Plat de la Selle,sommet
"MULTIPOINT ((5.8238 44.8025))",2327,L'Aiguille,sommet
"MULTIPOINT ((6.09619 45.00692))",2776,Pied Moutet,sommet
"MULTIPOINT ((5.50269 44.83545))",1775,Carrières Romaines / Arbre taillé / Queyrie,passage
"MULTIPOINT ((5.519 44.937))",1789,Pas de Serre-Brion,passage
"MULTIPOINT ((5.5223 44.85344))",1788,Pas du Fouillet,passage
"MULTIPOINT ((5.8433 44.9285))",2185,Col de Malissol,passage
"MULTIPOINT ((5.58379 45.01476))",1995,Pas de l'Oeille,passage
"MULTIPOINT ((5.938 45.135))",2096,Col de la petite Vaudaine,passage
"MULTIPOINT ((5.953 45.148))",2097,Col de la Grande Vaudaine,passage
