WKT,ID
"MULTILINESTRING ((5.8993950443419 45.0915780298213,5.89896697817416 45.0903629020238,5.89820393476744 45.0885005572838,5.90045026224815 45.0878411338954))",LIGNELEC0000000269643565
"MULTILINESTRING ((5.70670535938412 45.1035180983367,5.70056200677564 45.1020923039324))",LIGNELEC0000002003318394
"MULTILINESTRING ((5.90045026224815 45.0878411338954,5.90090162570735 45.08776451063,5.9003360995481 45.0865475621229,5.89754501712935 45.0856768356429,5.89515067691471 45.084508313451,5.89360266063924 45.0831033265498,5.89153661039479 45.0820081959823,5.88937187706788 45.0810444316198))",LIGNELEC0000002003384357
"MULTILINESTRING ((5.88826407929324 45.0795648896543,5.88937187706788 45.0810444316198))",LIGNELEC0000002003384358
"MULTILINESTRING ((5.8993950443419 45.0915780298213,5.90257776530252 45.0944243347351,5.90444995945262 45.0957414773003,5.90673259103096 45.0969992313645,5.9076725393033 45.0979748287539,5.91176778809043 45.0995672035045))",LIGNELEC0000002003384351
"MULTILINESTRING ((6.03465825154508 45.2090137126262,6.03482759456882 45.2086820152793,6.03631684667272 45.2031142585511,6.03635438794358 45.2028438127197))",LIGNELEC0000000024796802
"MULTILINESTRING ((6.07677679220526 45.0314435724685,6.07830563785081 45.0316544983456))",LIGNELEC0000000024796675
"MULTILINESTRING ((5.77592304520283 45.0547301287737,5.76963912001369 45.0521675566093))",LIGNELEC0000000024796703
"MULTILINESTRING ((6.01836591005666 45.4274563948395,6.02093378532729 45.4279405005676))",LIGNELEC0000000024796806
"MULTILINESTRING ((5.69953744556614 45.0957331733731,5.70009139422053 45.0980378313485,5.70213142248916 45.1004794456893,5.70643437356767 45.1025192430984,5.70854809647522 45.1035057649347))",LIGNELEC0000000024796850
"MULTILINESTRING ((5.62700584579038 45.2931708968224,5.62767551577232 45.2933236386911))",LIGNELEC0000000024796827
"MULTILINESTRING ((5.54335306179497 45.2899892928722,5.53742456984569 45.2939681182516,5.53136705210911 45.2979630471376,5.52536701238986 45.3019211986736,5.51916557610901 45.3060177816993,5.51560057967945 45.3086628631483,5.51145951032624 45.3117063421743,5.50812914836535 45.3141621220551,5.49667363620799 45.3165904006227))",LIGNELEC0000000222413294
"MULTILINESTRING ((5.55298852956024 45.083128731092,5.54565336027561 45.0841487794091,5.54287336004685 45.0845347683248,5.54083548208454 45.0847983657268,5.53712642509135 45.0853089905864,5.52835227626601 45.0866056766351,5.52266713564705 45.0832049829606,5.5167609516393 45.0798495496655,5.51330241653164 45.0778962055301,5.51086607143292 45.0768430967174,5.50697814882684 45.0769874066655,5.50208256885208 45.0771452072221,5.4940924656286 45.0774207569877,5.4888581589242 45.0812249557429,5.48821551916085 45.0806988045367,5.4876150024933 45.0806905938644))",LIGNELEC0000000224178071
"MULTILINESTRING ((6.04671673476894 45.1498308779605,6.04669267216128 45.1500667171353))",LIGNELEC0000000269643559
"MULTILINESTRING ((5.73642927579982 45.0850437919924,5.7362063179055 45.0851654884086,5.73322328590452 45.0867621873303))",LIGNELEC0000000024796654
"MULTILINESTRING ((5.76309899315299 45.0445594464962,5.76286148930038 45.0463897383251,5.76733937781195 45.0502561796145,5.76963912001369 45.0521675566093))",LIGNELEC0000000024796712
"MULTILINESTRING ((5.90179768889471 45.2378096768719,5.90093269083604 45.2386367665634,5.89678379992703 45.2374784740026,5.89297563310267 45.2367635265748,5.89044224167664 45.2362830808382,5.88814937994837 45.235915296241,5.88728401364553 45.2355069744931))",LIGNELEC0000000024796764
"MULTILINESTRING ((6.07514878920648 45.029982884747,6.07672159623099 45.030578272619,6.07829870214872 45.0311356755878))",LIGNELEC0000000024796765
"MULTILINESTRING ((6.03635438794358 45.2028438127197,6.03618374918446 45.2031043621151,6.0347119613614 45.2086653344086,6.03465825154508 45.2090137126262))",LIGNELEC0000000024796796
"MULTILINESTRING ((5.66414536751419 45.1004570073234,5.67210229353432 45.0990250565305))",LIGNELEC0000000024796847
"MULTILINESTRING ((5.73476617939932 45.0932155752183,5.73256413053572 45.0945876657297,5.72874690336715 45.0966704693907,5.72819100824896 45.098259816035,5.72714895419032 45.1013575118023,5.72645100381 45.1034269204789,5.72321950848872 45.1050672452768,5.71962224720256 45.1068551416201,5.71698938717008 45.1081770550862,5.71427966818238 45.1095431192294,5.70999019477564 45.1080348223568))",LIGNELEC0000000024796655
"MULTILINESTRING ((6.07488299435081 45.2800642077701,6.07482887058217 45.2806793576624,6.07238172835712 45.2835446079395,6.07147075261441 45.2845942094025,6.07010378061464 45.2865195952339,6.06869169720433 45.2885083776764,6.06607266723306 45.2922288468731,6.06499472171342 45.2937290207489,6.06438642290079 45.2946233795158,6.06316839589965 45.2963175080247,6.06313441494278 45.3002734355737,6.06309481729255 45.3039880205279,6.06303695896106 45.3111552892991,6.06298775395025 45.3169012658249,6.06298219076187 45.3187505141744,6.06534881949111 45.3235039808991,6.0672900636752 45.3274157122928,6.06869484796901 45.3302121252811,6.06991446437051 45.3327063228313,6.07144380967578 45.3354398196621,6.07345749980581 45.3390746435684,6.07448218872127 45.3409704040007,6.07659194675062 45.3437699035172,6.07830139861377 45.3461208047552,6.0822231207072 45.3514016442283,6.08503796468453 45.3551935685727,6.0862604660271 45.3568639168252,6.08667205745976 45.3588458810692,6.08737450700935 45.3622219931897,6.08772130844525 45.363818255203,6.08894772786717 45.3696985947687,6.08939717428711 45.3719904073577,6.08973370482687 45.3736067775208,6.09185998742219 45.3835219198164,6.09289857152042 45.3885847005519,6.09333652120291 45.3906641607479,6.09383263744172 45.3931448258431,6.09415194980654 45.394539088269,6.09439820899799 45.3958614746663,6.09532348087776 45.400649832579,6.09582629088697 45.4034312958576,6.09645314511829 45.4068770817106,6.09749662563497 45.4127011979803,6.0981115074031 45.4173746822497,6.09844848777349 45.4197471053457,6.09925493728194 45.4256958327711,6.10000980849706 45.4290650903275,6.10181970400622 45.4314994980969))",LIGNELEC0000000024796857
"MULTILINESTRING ((5.66182728386678 44.9553343729714,5.66160426325872 44.9518938684353,5.66215862660122 44.9512517831868))",LIGNELEC0000000024796861
"MULTILINESTRING ((5.74282408213783 45.0936355728147,5.74263315983017 45.0931402501388,5.74231337766144 45.0914957964589,5.74127399270426 45.0911015335103,5.73960410669221 45.0904804123248,5.74000656421899 45.0889344165595,5.73853736696889 45.0887218767054,5.73856619975338 45.088609451794))",LIGNELEC0000000024796866
"MULTILINESTRING ((5.6722543222385 45.0998637660176,5.66414536751419 45.1004570073234))",LIGNELEC0000000024796940
"MULTILINESTRING ((5.78293542516422 45.2030637041062,5.78585751670867 45.204386449141,5.78761994036947 45.2056326659569,5.7878239404341 45.206093380314))",LIGNELEC0000000024796879
"MULTILINESTRING ((5.77646354628047 45.0542238368587,5.7859041905429 45.0578576237725,5.78674880317382 45.0582518289957,5.79084101618367 45.0600170224845,5.79435744526882 45.0614478523136))",LIGNELEC0000000024796873
"MULTILINESTRING ((6.02786711769269 45.1187175895232,6.0264710890128 45.1172390091594,6.02533513771284 45.116073232841,6.02336927974925 45.1141505411822))",LIGNELEC0000000024796892
"MULTILINESTRING ((6.00161686578939 45.3849279408335,6.00190994237192 45.3855247259924,6.00434448885363 45.3849998852844))",LIGNELEC0000000024796926
"MULTILINESTRING ((5.67047775067562 45.2167483556534,5.66855984760227 45.2188645548055,5.66709653545413 45.2206797618819,5.66585705217942 45.2225923128767,5.66436682313895 45.2245684904667,5.66255019380386 45.2265731489339,5.66067083123817 45.2290027100717,5.65906187007949 45.2311969628694,5.66322432134621 45.2331086969297))",LIGNELEC0000000024796989
"MULTILINESTRING ((5.64074374623439 45.2266484612099,5.64006004576772 45.2284727862531))",LIGNELEC0000000024796991
"MULTILINESTRING ((5.9081493244636 44.816279276649,5.90785015924864 44.8156348455389,5.89971123491364 44.8200445203497,5.89462492235891 44.8227675780206,5.88673175864535 44.8252490622803,5.88349726036347 44.8262845845606,5.87428190514921 44.8291959335799,5.86718916198366 44.8314435248229,5.85781782648573 44.8347800305996,5.85774334384847 44.833913463365))",LIGNELEC0000000024796737
"MULTILINESTRING ((5.59199324715038 45.2823515805485,5.58987701317356 45.2841835389735,5.58169247886734 45.2928270215184,5.57630476231312 45.2984567718969,5.57251235332014 45.3027720652722))",LIGNELEC0000000024796929
"MULTILINESTRING ((5.59199324715038 45.2823515805485,5.59269106963394 45.2780127864313,5.60103719609439 45.2634546335427,5.60168835051123 45.2630286590639))",LIGNELEC0000000024796920
"MULTILINESTRING ((5.57251235332014 45.3027720652722,5.57672822320162 45.2986425157719,5.582242261943 45.2928746897035,5.5902510512496 45.2844604664198,5.59199324715038 45.2823515805485))",LIGNELEC0000000024796930
"MULTILINESTRING ((6.04669267216128 45.1500667171353,6.04483131438693 45.1538335990469,6.04457647939077 45.154578539635,6.04429004677445 45.1553513743586,6.04367002981288 45.1567100022197,6.04292914783073 45.1582584469081,6.04215088494906 45.160056603625,6.04146623250902 45.1617503801154,6.04087029816254 45.1632029474799,6.03966899770544 45.1661705031019,6.0394507657008 45.1667711616771,6.03932596587022 45.1673800875211,6.03898095612678 45.1692790513007,6.03855843441362 45.1712756396872,6.03815758821197 45.1739519526309,6.03784382072831 45.1760753332845,6.03768607164157 45.1771329921106,6.03745504320449 45.178834215744,6.03693908484945 45.1809189448574,6.03665584366751 45.1820358846379,6.03614016902162 45.1841737660898,6.03577987276675 45.1856081786862,6.03528214083591 45.1876788879106,6.0350263858074 45.1886463972554,6.03516120580552 45.1893681027848,6.03549359742164 45.19081701607,6.03586432852065 45.192455015231,6.03629861415496 45.1944409063563,6.03645255269665 45.195162092034,6.03651380523922 45.1964985368754,6.03647717676126 45.1983314394902,6.03641744863847 45.200559646647,6.03637747975133 45.2020033723636,6.03635438794358 45.2028438127197))",LIGNELEC0000000024796963
"MULTILINESTRING ((5.75441316983475 45.1543675724995,5.75485430440814 45.1539917911251,5.75859927179075 45.1532469484993,5.76025816414167 45.1518769958994,5.76477410278586 45.1516381211321,5.76794879881371 45.1523918786146,5.77032345321556 45.1545474995053,5.77209832458614 45.1562116384796,5.77409147069372 45.1580379048089,5.77608802597347 45.1598532431081,5.77974633434035 45.1606135672358,5.78975041561319 45.1627208025627,5.79291394570643 45.1633840575391,5.80901605466733 45.1667612317549,5.81309070988844 45.1676262311799,5.82073616539765 45.1724345962939,5.82499194639272 45.1751299172505,5.83699565892058 45.1827307351948,5.84040562781244 45.1848974011997,5.84430504073254 45.1873623447388,5.853229877468 45.1961265934276,5.85737466031823 45.2001958543327,5.86312709817174 45.2040886129059,5.86799185460908 45.2073596779305,5.87807182031363 45.2141624975591,5.8800746320562 45.2155236615086,5.88641921187939 45.2198091078322,5.88901618300545 45.2228369828535,5.89107249558815 45.2252435779922,5.89915474888333 45.2346850336798,5.90179768889471 45.2378096768719))",LIGNELEC0000000024796977
"MULTILINESTRING ((5.31755605140422 45.1215771815711,5.31748064118853 45.121998517637,5.31934346612891 45.1235028414445))",LIGNELEC0000000024796865
"MULTILINESTRING ((6.07830263801581 45.0313689430705,6.07677679220526 45.0314435724685))",LIGNELEC0000000024796961
"MULTILINESTRING ((5.55297178894184 45.2844277382036,5.55054943300555 45.2860136571403,5.54487247941149 45.2897790492832,5.5387329403142 45.2938294158979,5.53221586019447 45.2981303192525,5.52590704260881 45.3023162111467,5.52022560997216 45.3060830928595,5.51638107505964 45.3091525138361,5.51277650073874 45.3120596495169,5.50924786008282 45.31493162605,5.4979107744189 45.31846547))",LIGNELEC0000000222413293
"MULTILINESTRING ((5.22163921036143 45.0819947667843,5.21926722520145 45.0856270216065))",LIGNELEC0000000211719294
"MULTILINESTRING ((5.22156180137032 45.0844310402938,5.22294248847216 45.0814850706995))",LIGNELEC0000000211719295
"MULTILINESTRING ((5.90045026224815 45.0878411338954,5.90027090936131 45.0873259238441))",LIGNELEC0000000269643564
"MULTILINESTRING ((6.06883022456002 45.0029038531709,6.06944750546316 45.0030201791991))",LIGNELEC0000000269643618
"MULTILINESTRING ((5.70094865706359 45.1479024792708,5.70074675216187 45.1480713384779))",LIGNELEC0000000269643716
"MULTILINESTRING ((5.62721233227164 45.2928939635871,5.62775750546812 45.2932217083065))",LIGNELEC0000000269643758
"MULTILINESTRING ((5.62710668766115 45.293333399108,5.62763526527514 45.2933633246734))",LIGNELEC0000000269643759
"MULTILINESTRING ((5.82781079932255 45.2018090606814,5.82674844669568 45.2024486419522))",LIGNELEC0000000269643539
"MULTILINESTRING ((5.77780342683586 45.0571202960547,5.77729433572281 45.0563392606414))",LIGNELEC0000000269643506
"MULTILINESTRING ((5.77731003380914 45.0574236077471,5.77769575080045 45.0579725739808))",LIGNELEC0000000269643507
"MULTILINESTRING ((5.77782374672762 45.0579135226605,5.77743337139867 45.0573475550687))",LIGNELEC0000000269643508
"MULTILINESTRING ((5.7779327980788 45.0570377856691,5.7774571045416 45.0563406067457,5.77646354628047 45.0542238368587))",LIGNELEC0000000269643509
"MULTILINESTRING ((6.10017516186647 45.4307672997837,6.10010645861893 45.430522284162,6.09999857451248 45.430354950109))",LIGNELEC0000000269643428
"MULTILINESTRING ((5.9168775633107 45.2665152686544,5.91735622486617 45.2663234674255))",LIGNELEC0000000269643537
"MULTILINESTRING ((5.9180162397927 45.2652087624045,5.91758320672331 45.2655894965442))",LIGNELEC0000000269643538
"MULTILINESTRING ((5.78293542516422 45.2030637041062,5.77883894956473 45.2033630519107,5.77432413056805 45.202785182824,5.77067240534581 45.202288429118,5.76635833274554 45.2016944487266,5.7629919283639 45.2010372123297,5.75900753898266 45.2001996399356,5.7565336616442 45.1986453125948,5.75399669925099 45.1971267274113,5.75192330174472 45.195806587031,5.74989481747728 45.1944132274142,5.74725481904732 45.1951683671362,5.74434740851663 45.1959804709152,5.74160760309149 45.1960297712236))",LIGNELEC0000000024796881
"MULTILINESTRING ((5.81276826939509 45.2134343451176,5.81488562908093 45.2116925275401,5.81669027806401 45.2101973194932,5.81927752472667 45.2078461992931,5.82244972027793 45.2053973377308,5.8249006056999 45.2037099557814,5.82674844669568 45.2024486419522))",LIGNELEC0000000269643540
"MULTILINESTRING ((5.88764803114259 45.2350254261756,5.88890433599187 45.2345613504643,5.89018784155331 45.2356805667569,5.89246940079951 45.2376497345758,5.89573932560716 45.2405483413215,5.8985885268342 45.2420206286216,5.903437313167 45.2445861190449,5.90513748068472 45.2461520784664,5.90620675417955 45.2479704988997,5.90742568771128 45.2500156836648,5.90887182470724 45.2525018601737,5.91080593580637 45.2558042716028,5.91244675911907 45.2589097646686,5.91317980557411 45.2602908805581,5.91356375254836 45.2609972017588,5.91612625282253 45.2633983314076,5.9180162397927 45.2652087624045))",LIGNELEC0000000269643542
"MULTILINESTRING ((6.04697622828178 45.1489155005784,6.04701345175608 45.1496677864958))",LIGNELEC0000000269643560
"MULTILINESTRING ((6.04693999462804 45.1496517716719,6.04697622828178 45.1489155005784))",LIGNELEC0000000269643561
"MULTILINESTRING ((6.04669267216128 45.1500667171353,6.04679239147252 45.1498405252905))",LIGNELEC0000000269643563
"MULTILINESTRING ((5.79167854621811 45.0464871772331,5.79159372224095 45.0468758111722))",LIGNELEC0000000269643511
"MULTILINESTRING ((5.6643651268541 45.2336878257927,5.66336723670316 45.2357008939715,5.66330852417888 45.2376221948359,5.66141875103711 45.2393330650323,5.65963743815663 45.2417161222643,5.65846345252478 45.2434126000224,5.65699659176251 45.2454412678503,5.65558048493273 45.2474398785268,5.65418902836661 45.249422568227,5.6515434612035 45.2512935564397,5.64888832759732 45.2531547950045,5.6463608777551 45.254941769591,5.64392981922204 45.2573390395941,5.64176961522717 45.2594532640494,5.63967231836041 45.2615254160578,5.6375100511475 45.263656718834,5.6355560090608 45.2656082861531,5.6334306800409 45.2676908839457,5.6326468543714 45.2704635003971,5.63186146296839 45.2731775872179,5.63105555867101 45.2759453060426,5.63024052330446 45.2787645867499,5.62973029350469 45.2811487486926,5.62921513227954 45.2835645570657,5.628715693939 45.2859358477205,5.62821625835769 45.2882539810096,5.62764362005942 45.2909152866976,5.62721233227164 45.2928939635871))",LIGNELEC0000000024796909
"MULTILINESTRING ((5.6651772061782 45.2340315330371,5.6643651268541 45.2336878257927))",LIGNELEC0000000105372881
"MULTILINESTRING ((5.76604628725087 44.8804183991259,5.76674334103477 44.8773370849448,5.76924341290291 44.874875662297,5.77205620070715 44.8721063725147))",LIGNELEC0000000024796749
"MULTILINESTRING ((5.85734159257829 44.8339057947055,5.85668151282163 44.834619206415,5.84959605978943 44.8369618516994,5.84415632617721 44.8386330112861,5.83886280159392 44.8402217760016,5.83671334262535 44.8412371327997,5.82668760873779 44.8460038924416,5.82173208100047 44.8483687941243,5.81445226365794 44.8518221823995,5.80959013263252 44.854149917033,5.80454121907945 44.8565497188222,5.79911052547159 44.8591508045586,5.78912492848079 44.8638562683415,5.78746028469667 44.865078268211,5.78241322691085 44.8686778744379,5.76604628725087 44.8804183991259))",LIGNELEC0000000024796958
"MULTILINESTRING ((6.00119580189824 45.3794947661357,6.00245916872907 45.3776487862472,6.00372503537651 45.3759216688678,6.0061846057002 45.3753474464929,6.00890975373914 45.3746966480532,6.01208078766876 45.3738995241435,6.01642466805783 45.3727355083842,6.02445545510363 45.3718304373285,6.02813353439037 45.3706785318682,6.03227412496179 45.3700167987447,6.036254130931 45.3702793035347,6.03921935725234 45.3711549425915,6.042592462317 45.3721464812719,6.0447299269457 45.3722370657767,6.04651010115793 45.3728302439777,6.04946790165897 45.3728650756341,6.05102271093095 45.3730543105552,6.0527073299878 45.3734886953825,6.05455649063205 45.3742880282262,6.05761776337024 45.3757616254257,6.06051219088224 45.3776623324733,6.06250670835292 45.3788675822979,6.06827128462742 45.3823521618502,6.06905406115685 45.3853450001579,6.07046760590242 45.3869517255827,6.0718490602425 45.3885548102791,6.07400186592117 45.3894653683787,6.0759686276166 45.3900169374699,6.0777243453463 45.3905904927506,6.08007585665098 45.3905826264862))",LIGNELEC0000000024796915
"MULTILINESTRING ((6.00119580189824 45.3794947661357,5.99971376327754 45.3797534405643))",LIGNELEC0000000269657410
"MULTILINESTRING ((5.91785693407695 45.2665041220375,5.91827310748695 45.2663130470639,5.92063545766803 45.265957599234,5.92248451654328 45.2646468958565))",LIGNELEC0000000024796728
"MULTILINESTRING ((5.68551577509083 44.9643518493673,5.68189207651246 44.9657672225002))",LIGNELEC0000000269643672
"MULTILINESTRING ((5.21926722520145 45.0856270216065,5.21714801286667 45.0889074053127,5.21365951836272 45.0944172888002,5.21064673937016 45.0936736195262,5.20610527258063 45.0924079826307,5.20321290556094 45.0921652509755,5.20063275539455 45.0919387987963,5.19824495495304 45.0917526299622,5.19435428961515 45.0914086569187,5.19156575720788 45.0911842976896,5.18816650907192 45.0908853907281,5.18356797652958 45.0897667922163,5.18123786391638 45.0891972181759,5.17791897662753 45.0883776040462,5.17452405859119 45.0875620790159,5.17160339103423 45.0868416971993,5.17026987835131 45.086292105746,5.16543557308772 45.0843513937486,5.16196218248575 45.0829416361982))",LIGNELEC0000000211711073
"MULTILINESTRING ((5.95328486762257 45.1149671186077,5.94699411868182 45.1126638899712,5.94440177123079 45.1105329910499,5.94207768647442 45.1098203800546,5.9396202731481 45.1096923998628,5.93962957665273 45.1094822156969))",LIGNELEC0000000024796965
"MULTILINESTRING ((5.70175334859457 45.1960184769011,5.70166508585401 45.196274679739))",LIGNELEC0000000024796822
"MULTILINESTRING ((5.73476617939932 45.0932155752183,5.73470303144372 45.0931207246936))",LIGNELEC0000000024796829
"MULTILINESTRING ((6.00092204270444 45.3767195014442,6.00110699990395 45.3793655850516))",LIGNELEC0000000024796831
"MULTILINESTRING ((5.70278031835011 45.1966747337061,5.70175334859457 45.1960184769011))",LIGNELEC0000000024796821
"MULTILINESTRING ((5.9796099647897 45.1184239495833,5.97787007906062 45.1184920667019,5.97592469735178 45.1185728510162,5.97394269517339 45.1186590834293,5.97120031233288 45.1182312329446))",LIGNELEC0000002001956682
"MULTILINESTRING ((5.45750642847125 45.0836540778221,5.45668806012836 45.0825659046144,5.45559872101461 45.081068416269,5.45475213287438 45.079943919183,5.45329346205237 45.0779662995603,5.44899682930765 45.0739773837508,5.44366514444265 45.0692408267717,5.43735215173158 45.0665253372167,5.43391541158361 45.0646664273274,5.43153713973934 45.0634085816344,5.42919705070347 45.0621201282462,5.42772153603295 45.06133345791,5.42724146823099 45.0610493542917))",LIGNELEC0000000211718039
"MULTILINESTRING ((5.31934346612891 45.1235028414445,5.31971379687288 45.1253129370745,5.31805813904183 45.1275471024557,5.31642044171315 45.1298493288808,5.31494635700222 45.1319571656061,5.3140287608581 45.1343218727595,5.31318991738825 45.1365002762106,5.31203474007434 45.1395553970809,5.31112879408753 45.1419000205897,5.30977492703454 45.1447421425149,5.30839849131297 45.1459632857372))",LIGNELEC0000000024796674
"MULTILINESTRING ((5.33621542958329 45.0612870078567,5.3335418249517 45.064439045788))",LIGNELEC0000000316161577
"MULTILINESTRING ((5.67210229353432 45.0990250565305,5.66383435863381 45.1000166886064,5.65569034593197 45.1063804702913,5.65592093240844 45.1119831409938,5.6557784260504 45.122452428062,5.65617676563118 45.1255051434476,5.65691814928317 45.1307929653767,5.657401524579 45.1342661890005,5.65875387784799 45.1439881899954,5.65951347615393 45.1496215488331,5.65792933502824 45.1591126667246,5.657404499999 45.1617576622442,5.65626157267712 45.1637786185905,5.65436054103378 45.1671870005367,5.6530670937891 45.1695024996206,5.6501748936902 45.1747118841319,5.64992855195117 45.1806854436064,5.64971037416842 45.1860457124341,5.64954263579906 45.1908858563463,5.64843224516616 45.1954636790841,5.6459465941671 45.1974055523661,5.63195585738435 45.2084121703995,5.62950830879009 45.2119167573978,5.62720901121123 45.2152195960226,5.62585915660162 45.2171964314306,5.62452831899826 45.2190646917259,5.62316440015692 45.2210174974189,5.62008558615747 45.226115097529,5.61394195121495 45.2362637458727,5.61170306464423 45.2399170836606,5.59921098315244 45.2499527084737,5.59534597243031 45.253066015461,5.5911832384665 45.2563968982159,5.58829531805435 45.258731420097,5.57979156490205 45.2676794931462,5.5750457451232 45.2702249848082,5.56989672477531 45.2729732316448,5.5661710386833 45.2751633395166,5.56348235030091 45.2767403508626,5.56018903647381 45.278936551541,5.54923802567103 45.2861372561785,5.54335306179497 45.2899892928722))",LIGNELEC0000000024796852
"MULTILINESTRING ((5.52485460471561 45.3095147369492,5.52530335834495 45.3066559615112,5.53027896925066 45.3029543335754,5.53471298794428 45.2996521350586,5.53936532938074 45.2961943432824,5.54321567264506 45.2933266625933,5.5464011819678 45.2903028107128,5.54854180777421 45.2881594416744,5.55297178894184 45.2844277382036))",LIGNELEC0000000024796855
