c2c;BDTOPO
39661;PAIOROGR0000000007455812
39645;PAIOROGR0000000007456264
39620;PAIOROGR0000000007454898
39619;PAIOROGR0000000075590572
39615;PAIOROGR0000000075590571
39572;PAIOROGR0000000007455675
39571;PAIOROGR0000000007454627
39526;PAIOROGR0000000075590093
39514;PAIOROGR0000000075589700
39501;PAIOROGR0000000075590057
39493;PAIOROGR0000000007454010
39372;PAIOROGR0000000012528511
39367;PAIOROGR0000000012528636
39335;PAIOROGR0000000007456677
39307;PAIOROGR0000000007456906
39303;PAIOROGR0000000007455739
39296;PAIOROGR0000000007457423
39284;PAIOROGR0000000075592131
39256;PAIOROGR0000000012528532
39215;PAIOROGR0000000007455999
39191;PAIOROGR0000000007454270
39170;PAIOROGR0000000075591284
39137;PAIOROGR0000000012527247
39115;PAIOROGR0000000007454397
39072;PAIOROGR0000000007454901
39067;PAIOROGR0000000007456531
39064;PAIOROGR0000000012528469
39056;PAIOROGR0000000356412699
39051;PAIOROGR0000000356600233
39040;PAIOROGR0000000006685172
39038;PAIOROGR0000000007454698
39017;PAIOROGR0000000075590165
39008;PAIOROGR0000000007453721
38988;PAIOROGR0000000075589742
38985;PAIOROGR0000000075590199
38981;PAIOROGR0000000075589924
38970;PAIOROGR0000000075590207
38662;PAIOROGR0000000075589946
38659;PAIOROGR0000000075590177
38658;PAIOROGR0000000075590384
38655;PAIOROGR0000000007456024
38654;PAIOROGR0000000075590226
38648;PAIOROGR0000000007456027
38646;PAIOROGR0000000007455799
38644;PAIOROGR0000000075590084
38640;PAIOROGR0000000075590203
38626;PAIOROGR0000000075590746
38618;PAIOROGR0000000007454514
38613;PAIOROGR0000000012528513
38591;PAIOROGR0000000075590086
38583;PAIOROGR0000000075589923
38569;PAIOROGR0000000075589970
38540;PAIOROGR0000000075589960
38521;PAIOROGR0000000075590225
38519;PAIOROGR0000000356600224
38501;PAIOROGR0000000007454831
38485;PAIOROGR0000002009067756
38473;PAIOROGR0000000075589954
38469;PAIOROGR0000000075590028
38468;PAIOROGR0000000075590341
38466;PAIOROGR0000000075591757
38440;PAIOROGR0000000007456861
38438;PAIOROGR0000000007456335
38434;PAIOROGR0000000007456038
38428;PAIOROGR0000000007456743
38418;PAIOROGR0000000075589724
38384;PAIOROGR0000000007454891
38329;PAIOROGR0000000012527347
38319;PAIOROGR0000000075592184
38314;PAIOROGR0000000007454983
38312;PAIOROGR0000000007456661
38303;PAIOROGR0000000075589706
38298;PAIOROGR0000000075589919
38297;PAIOROGR0000000012527356
38278;PAIOROGR0000000075591077
38269;PAIOROGR0000000075592461
38268;PAIOROGR0000000075592217
38267;PAIOROGR0000000012528463
38266;PAIOROGR0000000075592531
38265;PAIOROGR0000000007455743
38258;PAIOROGR0000000007456758
38256;PAIOROGR0000000012528421
38255;PAIOROGR0000000012527366
38233;PAIOROGR0000000075592462
38230;PAIOROGR0000000007454132
38203;PAIOROGR0000000007455853
38168;PAIOROGR0000000006686193
38133;PAIOROGR0000000007455216
38128;PAIOROGR0000000075592477
38125;PAIOROGR0000000012528268
38113;PAIOROGR0000000007456331
38107;PAIOROGR0000000007455074
38102;PAIOROGR0000000012528564
38096;PAIOROGR0000000075591600
38080;PAIOROGR0000000012528309
38077;PAIOROGR0000000075591338
38064;PAIOROGR0000000012528617
38059;PAIOROGR0000000075592232
38052;PAIOROGR0000000075592489
38042;PAIOROGR0000000075591809
38041;PAIOROGR0000000007455153
38038;PAIOROGR0000000075589510
38028;PAIOROGR0000000012528556
38021;PAIOROGR0000000075590078
38006;PAIOROGR0000000007456010
37995;PAIOROGR0000000075590364
37988;PAIOROGR0000000075590786
37983;PAIOROGR0000000075589938
37978;PAIOROGR0000000075590090
37971;PAIOROGR0000000012528618
37872;PAIOROGR0000000075591349
37968;PAIOROGR0000000007456358
37967;PAIOROGR0000000012527283
37966;PAIOROGR0000000075591990
37960;PAIOROGR0000000012528621
37959;PAIOROGR0000000075590360
37946;PAIOROGR0000000007456745
37943;PAIOROGR0000000012527321
37936;PAIOROGR0000000007455323
37932;PAIOROGR0000000007455076
37911;PAIOROGR0000000007455672
37909;PAIOROGR0000000007456609
37903;PAIOROGR0000000012528594
37901;PAIOROGR0000000007454912
37890;PAIOROGR0000000007455814
37884;PAIOROGR0000000007454030
37879;PAIOROGR0000000007456057
37876;PAIOROGR0000000007456566
37875;PAIOROGR0000000075592485
37874;PAIOROGR0000000075591589
37873;PAIOROGR0000000007457421
37871;PAIOROGR0000000075590862
37870;PAIOROGR0000000075592302
37869;PAIOROGR0000000075592521
37868;PAIOROGR0000000075592008
37867;PAIOROGR0000000075592010
37865;PAIOROGR0000000007454643
37858;PAIOROGR0000000007454821
37850;PAIOROGR0000000012528650
37848;PAIOROGR0000000012528477
37845;PAIOROGR0000000075591894
37841;PAIOROGR0000000012528505
37835;PAIOROGR0000000007454896
37824;PAIOROGR0000000007455051
37821;PAIOROGR0000000007454587
37816;PAIOROGR0000000007454980
37812;PAIOROGR0000000007455854
37811;PAIOROGR0000000012527289
37807;PAIOROGR0000000075592440
37802;PAIOROGR0000000075590780
37796;PAIOROGR0000000007456204
37795;PAIOROGR0000000007455871
37790;PAIOROGR0000000007454231
37770;PAIOROGR0000000012528413
37731;PAIOROGR0000000007455674
37726;PAIOROGR0000000007454697
37725;PAIOROGR0000000007454579
37723;PAIOROGR0000000007454987
37721;PAIOROGR0000000007454813
37720;PAIOROGR0000000007454647
37719;PAIOROGR0000000075591657
37705;PAIOROGR0000000075591423
37704;PAIOROGR0000000007454591
37698;PAIOROGR0000000075589705
37697;PAIOROGR0000000007454078
37693;PAIOROGR0000000075589442
37691;PAIOROGR0000000007454764
37677;PAIOROGR0000000007456383
37675;PAIOROGR0000000007454584
37672;PAIOROGR0000000007454703
37669;PAIOROGR0000000007454701
37664;PAIOROGR0000000007456535
37662;PAIOROGR0000000075589692
37660;PAIOROGR0000000007454889
37657;PAIOROGR0000000007454581
37656;PAIOROGR0000000007454762
41106;PAIOROGR0000000006685717
41105;PAIOROGR0000000075589516
41092;PAIOROGR0000000075591619
41074;PAIOROGR0000000075590141
41049;PAIOROGR0000000075591582
41048;PAIOROGR0000000075592183
41034;PAIOROGR0000000007454147
37650;PAIOROGR0000000007454753
37612;PAIOROGR0000000007454277
37608;PAIOROGR0000000012528543
37565;PAIOROGR0000000007454902
37564;PAIOROGR0000000007454763
37563;PAIOROGR0000000007455921
37560;PAIOROGR0000000075590570
37543;PAIOROGR0000000007456384
37538;PAIOROGR0000002007004895
37525;PAIOROGR0000000007456070
37523;PAIOROGR0000000007454317
37508;PAIOROGR0000000075590751
37503;PAIOROGR0000000007454396
37471;PAIOROGR0000000007454366
37457;PAIOROGR0000000007456084
37452;PAIOROGR0000000007455603
37450;PAIOROGR0000000007456998
37440;PAIOROGR0000000007456088
37434;PAIOROGR0000000007454153
37433;PAIOROGR0000000075592369
37430;PAIOROGR0000000007454324
37425;PAIOROGR0000000007454275
37418;PAIOROGR0000000007457417
37411;PAIOROGR0000000007455088
37402;PAIOROGR0000000007454588
37401;PAIOROGR0000000012528395
37372;PAIOROGR0000000007455440
37371;PAIOROGR0000000007455152
37370;PAIOROGR0000000007454390
37364;PAIOROGR0000000012528665
37351;PAIOROGR0000000075589703
37341;PAIOROGR0000000075589926
37340;PAIOROGR0000000075589837
37327;PAIOROGR0000000075592004
37325;PAIOROGR0000000075592219
37223;PAIOROGR0000000007454090
327850;PAIOROGR0000000007455724
44988;PAIOROGR0000000007454135
624790;PAIOROGR0000000075591335
1020318;PAIOROGR0000000007454990
992335;PAIOROGR0000000007455009
986618;PAIOROGR0000000356600229
977483;PAIOROGR0000000075589515
975035;PAIOROGR0000000012528308
974981;PAIOROGR0000000075592225
973963;PAIOROGR0000000075591530
960755;PAIOROGR0000000007454229
948019;PAIOROGR0000000075590874
948015;PAIOROGR0000000075590873
948014;PAIOROGR0000000075590885
900226;PAIOROGR0000000006685872
900225;PAIOROGR0000000006686393
898823;PAIOROGR0000000007455422
896880;PAIOROGR0000000007457198
891646;PAIOROGR0000000075592500
888953;PAIOROGR0000000007455583
871521;PAIOROGR0000000075591300
868538;PAIOROGR0000000007454572
868040;PAIOROGR0000000007454892
865400;PAIOROGR0000000075592326
862883;PAIOROGR0000000007456283
854345;PAIOROGR0000000007457450
814036;PAIOROGR0000000007456431
805058;PAIOROGR0000000075592208
803421;PAIOROGR0000000075590798
781925;PAIOROGR0000000075589741
774138;PAIOROGR0000000012527654
768859;PAIOROGR0000000075590041
768858;PAIOROGR0000000075590061
768857;PAIOROGR0000000075590040
768331;PAIOROGR0000000075591383
768312;PAIOROGR0000000075591155
764276;PAIOROGR0000000075591139
37594;PAIOROGR0000000006686002
37588;PAIOROGR0000000007454576
37584;PAIOROGR0000000007454628
37568;PAIOROGR0000000007456015
37566;PAIOROGR0000000007455165
274685;PAIOROGR0000000006685610
763059;PAIOROGR0000000012528548
761208;PAIOROGR0000000007456455
761112;PAIOROGR0000000007456962
756166;PAIOROGR0000000075590204
754914;PAIOROGR0000000007454989
749185;PAIOROGR0000000075589939
748301;PAIOROGR0000000075592201
747890;PAIOROGR0000000007456454
745328;PAIOROGR0000000007455939
737703;PAIOROGR0000000075591270
737678;PAIOROGR0000000075591543
737665;PAIOROGR0000000075591786
737650;PAIOROGR0000000075591999
736284;PAIOROGR0000000075590013
733663;PAIOROGR0000000075591393
732913;PAIOROGR0000000075591692
732912;PAIOROGR0000000075591688
732910;PAIOROGR0000002009067742
732893;PAIOROGR0000000075591352
730639;PAIOROGR0000000012528576
711040;PAIOROGR0000000012527331
711036;PAIOROGR0000000012527353
711035;PAIOROGR0000000012528478
711031;PAIOROGR0000000007454441
698799;PAIOROGR0000000075592178
687059;PAIOROGR0000002009067737
680143;PAIOROGR0000000075592466
665429;PAIOROGR0000000012527679
665427;PAIOROGR0000000012527670
661711;PAIOROGR0000000075591989
643897;PAIOROGR0000000007456637
643896;PAIOROGR0000000007456517
642953;PAIOROGR0000000075591357
642170;PAIOROGR0000000012527407
641547;PAIOROGR0000000012527457
638557;PAIOROGR0000000075592517
624935;PAIOROGR0000000075590573
624789;PAIOROGR0000000075591336
624787;PAIOROGR0000000075591122
614544;PAIOROGR0000000075590372
613197;PAIOROGR0000000075591790
610944;PAIOROGR0000000007454512
542790;PAIOROGR0000000075592224
600876;PAIOROGR0000000007455966
600870;PAIOROGR0000000007455741
600412;PAIOROGR0000000007454445
595836;PAIOROGR0000000007454099
588714;PAIOROGR0000000007457111
583273;PAIOROGR0000000075589583
580502;PAIOROGR0000000075590729
575705;PAIOROGR0000000006684913
575207;PAIOROGR0000000007454788
575206;PAIOROGR0000000007454717
568133;PAIOROGR0000000007454212
568130;PAIOROGR0000000007454271
562752;PAIOROGR0000000075590356
556678;PAIOROGR0000000075590049
556676;PAIOROGR0000000075590042
556669;PAIOROGR0000000075589951
556668;PAIOROGR0000000075589955
556667;PAIOROGR0000000075589968
556666;PAIOROGR0000000075589966
556665;PAIOROGR0000000075590097
556663;PAIOROGR0000000007456326
556536;PAIOROGR0000000007455813
554664;PAIOROGR0000000075589852
550281;PAIOROGR0000000007456278
550261;PAIOROGR0000000007456050
39676;PAIOROGR0000000075589950
39674;PAIOROGR0000000007456142
39670;PAIOROGR0000000007456362
39669;PAIOROGR0000000356600236
550187;PAIOROGR0000000075589930
550171;PAIOROGR0000000075589937
550106;PAIOROGR0000000075589961
550098;PAIOROGR0000000075590347
550092;PAIOROGR0000000075590228
549805;PAIOROGR0000000075590362
549804;PAIOROGR0000000075590367
549803;PAIOROGR0000000075590371
549802;PAIOROGR0000000075591048
549801;PAIOROGR0000000075590766
549800;PAIOROGR0000000075590767
549799;PAIOROGR0000000075590569
549797;PAIOROGR0000000075590770
549796;PAIOROGR0000000075590777
549795;PAIOROGR0000000075590771
545999;PAIOROGR0000000075592340
544292;PAIOROGR0000000012527728
541914;PAIOROGR0000000075589445
539747;PAIOROGR0000000007453941
537594;PAIOROGR0000000075589962
530409;PAIOROGR0000000006685728
528875;PAIOROGR0000000007454787
520652;PAIOROGR0000000075589712
517377;PAIOROGR0000000007455688
514269;PAIOROGR0000000007456559
510866;PAIOROGR0000000007455949
493025;PAIOROGR0000000075592626
491018;PAIOROGR0000000006686911
470681;PAIOROGR0000002009067755
467967;PAIOROGR0000000007456364
461051;PAIOROGR0000000007454823
453850;PAIOROGR0000000007455918
447050;PAIOROGR0000000335207490
43231;PAIOROGR0000000007455162
436046;PAIOROGR0000000075590316
421856;PAIOROGR0000000075590007
415072;PAIOROGR0000000007456053
414709;PAIOROGR0000000007456478
409802;PAIOROGR0000000075592231
406423;PAIOROGR0000000075592194
403723;PAIOROGR0000000012528596
41799;PAIOROGR0000000075591347
41792;PAIOROGR0000000007456903
342466;PAIOROGR0000000075591542
326832;PAIOROGR0000000012528572
325617;PAIOROGR0000000006684863
319873;PAIOROGR0000000007457313
318902;PAIOROGR0000000007455856
318707;PAIOROGR0000000075592444
43294;PAIOROGR0000000007455750
316646;PAIOROGR0000000075591266
312526;PAIOROGR0000000007456140
312506;PAIOROGR0000000007456016
312505;PAIOROGR0000000007456132
312504;PAIOROGR0000000007456133
310215;PAIOROGR0000000075589828
305553;PAIOROGR0000000006685966
305551;PAIOROGR0000000007457462
302909;PAIOROGR0000000006685976
300758;PAIOROGR0000000012528588
298408;PAIOROGR0000000006686481
289783;PAIOROGR0000000075592496
288969;PAIOROGR0000000075591564
278935;PAIOROGR0000000007454906
263899;PAIOROGR0000000075589913
262890;PAIOROGR0000000007457412
261001;PAIOROGR0000000006686421
259172;PAIOROGR0000000075589967
259169;PAIOROGR0000000075590079
256582;PAIOROGR0000000075591306
247431;PAIOROGR0000000075591898
247428;PAIOROGR0000000006686198
244446;PAIOROGR0000000075589902
243710;PAIOROGR0000000075592780
242799;PAIOROGR0000000075591324
242518;PAIOROGR0000000012527426
242427;PAIOROGR0000000075590735
241551;PAIOROGR0000000007454761
233154;PAIOROGR0000000007456428
231938;PAIOROGR0000000007456551
231776;PAIOROGR0000000012528539
230753;PAIOROGR0000000007455044
230665;PAIOROGR0000000007455759
227936;PAIOROGR0000000075592365
225639;PAIOROGR0000000075592040
224327;PAIOROGR0000000075590091
224326;PAIOROGR0000000075590089
224325;PAIOROGR0000000075589971
159448;PAIOROGR0000000007456580
222074;PAIOROGR0000000007456458
219215;PAIOROGR0000002009067757
217966;PAIOROGR0000000075589598
213951;PAIOROGR0000000075589829
211660;PAIOROGR0000000075592319
211659;PAIOROGR0000000075592300
211613;PAIOROGR0000000075590819
211246;PAIOROGR0000000075592273
211245;PAIOROGR0000000075592509
208150;PAIOROGR0000000075590722
207525;PAIOROGR0000000007457448
204064;PAIOROGR0000000006686463
202490;PAIOROGR0000000075591546
202188;PAIOROGR0000000075591411
202181;PAIOROGR0000000075592122
200900;PAIOROGR0000000006686209
199520;PAIOROGR0000000006686676
198228;PAIOROGR0000000007455334
198107;PAIOROGR0000000007455778
194316;PAIOROGR0000000075591855
193121;PAIOROGR0000000006685994
187010;PAIOROGR0000000007456585
187008;PAIOROGR0000000007456470
187006;PAIOROGR0000000007456373
185820;PAIOROGR0000000075589431
176471;PAIOROGR0000000075590225
176381;PAIOROGR0000000007456357
176321;PAIOROGR0000000075590048
43212;PAIOROGR0000000006685537
176157;PAIOROGR0000000356380221
175030;PAIOROGR0000000007456208
173909;PAIOROGR0000000006686469
173630;PAIOROGR0000000075590391
172973;PAIOROGR0000000007454666
172972;PAIOROGR0000000007454668
170597;PAIOROGR0000000006685404
170596;PAIOROGR0000000006685411
170595;PAIOROGR0000000006685421
170594;PAIOROGR0000000006685571
170592;PAIOROGR0000000006685436
170590;PAIOROGR0000000006685302
164728;PAIOROGR0000000075591576
164628;PAIOROGR0000000007456467
163783;PAIOROGR0000000075590193
132641;PAIOROGR0000000007455913
162191;PAIOROGR0000000075591289
162190;PAIOROGR0000000075591041
162189;PAIOROGR0000000075591052
161132;PAIOROGR0000000075589722
160669;PAIOROGR0000000075591997
160074;PAIOROGR0000000075592314
160018;PAIOROGR0000000007456744
159696;PAIOROGR0000000006685260
158627;PAIOROGR0000000075592011
158613;PAIOROGR0000000007456797
158610;PAIOROGR0000000007456912
158600;PAIOROGR0000000007455840
158189;PAIOROGR0000000007455252
154830;PAIOROGR0000000075591574
154764;PAIOROGR0000000007456426
154663;PAIOROGR0000000007455710
152078;PAIOROGR0000000075591080
151585;PAIOROGR0000000007457401
149845;PAIOROGR0000000075589729
149197;PAIOROGR0000000007457122
148770;PAIOROGR0000000075592267
147904;PAIOROGR0000000075592522
145088;PAIOROGR0000000075592240
142501;PAIOROGR0000000075590407
142071;PAIOROGR0000000075590094
135183;PAIOROGR0000000007456022
135181;PAIOROGR0000000007455924
133422;PAIOROGR0000000075589742
132676;PAIOROGR0000000006686459
131172;PAIOROGR0000000007456330
129105;PAIOROGR0000000006685162
129064;PAIOROGR0000000075591405
129063;PAIOROGR0000000075591406
129062;PAIOROGR0000000075591655
129061;PAIOROGR0000000075591658
129060;PAIOROGR0000000075591657
129041;PAIOROGR0000000007457352
126676;PAIOROGR0000000012527668
126542;PAIOROGR0000000075591311
126525;PAIOROGR0000000007456341
125400;PAIOROGR0000000007457418
125397;PAIOROGR0000000007457362
125336;PAIOROGR0000000075589757
124508;PAIOROGR0000000007456570
122072;PAIOROGR0000000075590836
122050;PAIOROGR0000000075589898
121482;PAIOROGR0000000075592292
116851;PAIOROGR0000000075591661
115592;PAIOROGR0000000007456528
115494;PAIOROGR0000000007456152
113936;PAIOROGR0000000075592471
44545;PAIOROGR0000000007454689
108904;PAIOROGR0000000007456194
108164;PAIOROGR0000000007456271
107248;PAIOROGR0000000007457118
107036;PAIOROGR0000000007454548
106736;PAIOROGR0000000075589942
45120;PAIOROGR0000000007454207
45096;PAIOROGR0000000007454871
45087;PAIOROGR0000000012528224
45085;PAIOROGR0000000012528462
45055;PAIOROGR0000000012527200
45053;PAIOROGR0000000007454064
45039;PAIOROGR0000000007455428
45029;PAIOROGR0000000012527360
45015;PAIOROGR0000000007455042
44989;PAIOROGR0000000007454015
44974;PAIOROGR0000000007454378
44972;PAIOROGR0000000007454599
44968;PAIOROGR0000000012527249
44962;PAIOROGR0000000075589381
44931;PAIOROGR0000002009067748
44923;PAIOROGR0000000007454520
44902;PAIOROGR0000000007454710
44879;PAIOROGR0000000007455046
44870;PAIOROGR0000000012527322
44852;PAIOROGR0000000012528415
44833;PAIOROGR0000000007454511
44808;PAIOROGR0000000012528549
44802;PAIOROGR0000000012527161
44768;PAIOROGR0000000012528554
44755;PAIOROGR0000000012528484
44734;PAIOROGR0000000012528592
44708;PAIOROGR0000000007454062
44688;PAIOROGR0000000012528425
44686;PAIOROGR0000000012528587
44677;PAIOROGR0000000007454837
44662;PAIOROGR0000000075589381
44644;PAIOROGR0000000012527284
44614;PAIOROGR0000000007454368
44608;PAIOROGR0000000012528412
44584;PAIOROGR0000000012528637
44579;PAIOROGR0000000012527276
44556;PAIOROGR0000000007454768
44555;PAIOROGR0000000007454263
44538;PAIOROGR0000000007454580
44528;PAIOROGR0000000012527316
44527;PAIOROGR0000000012528547
44508;PAIOROGR0000000012528601
44502;PAIOROGR0000000012527111
41972;PAIOROGR0000000007454931
44487;PAIOROGR0000000012527320
44483;PAIOROGR0000000012527333
550170;PAIOROGR0000000075590043
550169;PAIOROGR0000000075590059
550134;PAIOROGR0000000075589836
550133;PAIOROGR0000000075589840
550130;PAIOROGR0000000075589765
550128;PAIOROGR0000000007455823
44432;PAIOROGR0000000012527361
44387;PAIOROGR0000000012528225
44380;PAIOROGR0000000012527259
44368;PAIOROGR0000000007454129
44348;PAIOROGR0000000007454138
44292;PAIOROGR0000000012527253
44290;PAIOROGR0000000012527365
44286;PAIOROGR0000000007454014
44263;PAIOROGR0000000007454989
44251;PAIOROGR0000000012528648
44245;PAIOROGR0000000007454631
44224;PAIOROGR0000000012527288
44196;PAIOROGR0000000007454381
44183;PAIOROGR0000000007455069
44145;PAIOROGR0000000012528616
44138;PAIOROGR0000000007454968
44115;PAIOROGR0000000012528490
44112;PAIOROGR0000000007454776
44068;PAIOROGR0000000007455041
44048;PAIOROGR0000000012528202
44045;PAIOROGR0000000012528467
44014;PAIOROGR0000000012527317
43979;PAIOROGR0000000012528632
43965;PAIOROGR0000000012528545
43949;PAIOROGR0000000012528557
43944;PAIOROGR0000000007454202
43901;PAIOROGR0000000012527365
43851;PAIOROGR0000000012527207
43821;PAIOROGR0000000007455438
43693;PAIOROGR0000000075589943
43683;PAIOROGR0000000007454270
43602;PAIOROGR0000000012527719
43592;PAIOROGR0000000007454168
43501;PAIOROGR0000000007454838
43467;PAIOROGR0000000075591784
43439;PAIOROGR0000000007454744
43394;PAIOROGR0000000075592210
43393;PAIOROGR0000000075591547
43366;PAIOROGR0000000007457473
43359;PAIOROGR0000000007457465
43349;PAIOROGR0000000007455802
43347;PAIOROGR0000000356600235
43315;PAIOROGR0000000012528419
43271;PAIOROGR0000000075592189
43234;PAIOROGR0000000006684840
43148;PAIOROGR0000000006685737
43137;PAIOROGR0000000007454523
43132;PAIOROGR0000000075589929
43126;PAIOROGR0000000012527711
43111;PAIOROGR0000000075589737
43074;PAIOROGR0000000007454155
43053;PAIOROGR0000000075590206
43048;PAIOROGR0000000012528382
43043;PAIOROGR0000000007456290
43030;PAIOROGR0000000007456272
42997;PAIOROGR0000000075591035
42985;PAIOROGR0000000075589945
42910;PAIOROGR0000000075591554
42905;PAIOROGR0000000007456961
42887;PAIOROGR0000000007455954
42886;PAIOROGR0000000012528411
42791;PAIOROGR0000000007454677
42790;PAIOROGR0000000007455520
42773;PAIOROGR0000000012527456
42705;PAIOROGR0000000007456063
42665;PAIOROGR0000000012527351
42647;PAIOROGR0000000075592255
42641;PAIOROGR0000000007455521
42634;PAIOROGR0000000006686205
42633;PAIOROGR0000000007455962
42627;PAIOROGR0000000012528439
42606;PAIOROGR0000000351430221
42574;PAIOROGR0000000007457324
42565;PAIOROGR0000000012528466
42561;PAIOROGR0000000007454827
42560;PAIOROGR0000000007457477
42553;PAIOROGR0000000012528472
42531;PAIOROGR0000000075589755
42514;PAIOROGR0000000007456788
42480;PAIOROGR0000000012528474
42455;PAIOROGR0000000007456080
42439;PAIOROGR0000000007456754
42434;PAIOROGR0000000075592470
42358;PAIOROGR0000000075590322
42354;PAIOROGR0000000007456153
42343;PAIOROGR0000000012528644
42339;PAIOROGR0000000007456548
42318;PAIOROGR0000000007455342
42311;PAIOROGR0000000075590768
42310;PAIOROGR0000000075590576
42271;PAIOROGR0000000007454510
42259;PAIOROGR0000000075589730
42232;PAIOROGR0000000007456664
42213;PAIOROGR0000000075589934
42211;PAIOROGR0000000075589437
42185;PAIOROGR0000000075589740
42180;PAIOROGR0000000007455882
42160;PAIOROGR0000000007455068
42113;PAIOROGR0000000012528614
42107;PAIOROGR0000000007456552
42095;PAIOROGR0000000007455490
42061;PAIOROGR0000000007456738
42020;PAIOROGR0000000007456520
41989;PAIOROGR0000000075590741
41962;PAIOROGR0000000007454977
41958;PAIOROGR0000000012528424
41955;PAIOROGR0000000012528269
41945;PAIOROGR0000000012528615
41913;PAIOROGR0000000007454172
41905;PAIOROGR0000000007455215
41869;PAIOROGR0000000075589696
41854;PAIOROGR0000000006686195
41845;PAIOROGR0000000007456480
41840;PAIOROGR0000000012528416
41829;PAIOROGR0000000007456071
41823;PAIOROGR0000000006686675
195095;PAIHYDRO0000000075594208
155457;PAIOROGR0000000007454389
42048;PAIHYDRO0000000007458352
39178;PAIHYDRO0000000007458298
403298;PAIOROGR0000000296118581
401146;PAIOROGR0000000075591588
400631;PAIOROGR0000000075589441
399803;PAIOROGR0000000007454818
399492;PAIOROGR0000000012528508
399328;PAIOROGR0000000006685456
380920;PAIOROGR0000000075591531
380470;PAIOROGR0000000007455714
379911;PAIOROGR0000000075591903
379417;PAIOROGR0000000007457404
369435;PAIOROGR0000000007455256
358047;PAIOROGR0000000007455022
356155;PAIOROGR0000000007456877
336178;PAIOROGR0000000006685894
41812;PAIOROGR0000000007454198
41809;PAIOROGR0000000012528373
41806;PAIOROGR0000000075592220
